"arrival_date_month","country","important_event","city_bookings","resort_bookings"
"May","PRT","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",287,241
"April","GBR","Portuguese bookings have decreased drastically.",204,314
"March","GBR","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",220,248
"May","FRA","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",392,61
"April","PRT","Portuguese bookings have decreased drastically.",154,295
"February","GBR","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",158,279
"August","GBR","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",239,188
"July","DEU","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",399,18
"April","FRA","Portuguese bookings have decreased drastically.",341,65
"February","FRA","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",322,57
"June","DEU","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",334,21
"April","DEU","Portuguese bookings have decreased drastically.",281,71
"August","FRA","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",290,52
"August","ESP","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",152,170
"March","DEU","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",210,101
"May","DEU","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",272,39
"June","FRA","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",284,24
"February","ESP","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",190,116
"August","DEU","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",276,16
"July","FRA","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",232,27
"April","ESP","Portuguese bookings have decreased drastically.",114,125
"January","ESP","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",137,97
"July","ESP","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",109,123
"January","FRA","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",156,54
"May","IRL","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",68,140
"January","GBR","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",62,127
"June","IRL","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",61,116
"July","BEL","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",131,33
"May","ESP","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",86,55
"January","ITA","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",88,51
"May","BEL","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",118,19
"April","IRL","Portuguese bookings have decreased drastically.",77,52
"March","ESP","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",83,46
"March","IRL","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",71,58
"June","ESP","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",55,69
"February","DEU","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",98,21
"August","USA","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",84,34
"May","USA","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",98,19
"April","ITA","Portuguese bookings have decreased drastically.",91,24
"June","USA","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",90,23
"July","CN","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",44,66
"March","ITA","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",90,19
"August","ITA","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",89,18
"May","CHE","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",92,15
"May","ITA","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",93,13
"January","DEU","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",83,22
"July","IRL","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",52,52
"May","CN","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",37,66
"June","CN","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",26,74
"July","USA","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",64,35
"March","NLD","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",57,42
"August","IRL","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",47,47
"April","BEL","Portuguese bookings have decreased drastically.",83,9
"May","BRA","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",54,36
"April","NLD","Portuguese bookings have decreased drastically.",78,9
"July","CHE","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",62,25
"March","ISR","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",86,0
"July","BRA","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",59,26
"June","BEL","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",70,15
"March","BEL","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",50,35
"August","BEL","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",73,10
"March","BRA","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",77,6
"May","NLD","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",75,8
"January","BRA","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",65,17
"April","AUT","Portuguese bookings have decreased drastically.",42,33
"August","NLD","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",67,8
"June","NLD","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",69,6
"August","CN","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",28,45
"April","CHE","Portuguese bookings have decreased drastically.",49,23
"June","CHE","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",56,14
"April","SWE","Portuguese bookings have decreased drastically.",32,37
"April","USA","Portuguese bookings have decreased drastically.",56,12
"February","NLD","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",46,22
"June","ITA","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",59,9
"April","BRA","Portuguese bookings have decreased drastically.",46,21
"July","NLD","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",56,10
"February","ITA","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",53,12
"January","NLD","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",39,24
"May","AUT","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",57,5
"June","AUT","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",52,7
"March","CN","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",29,30
"February","IRL","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",31,26
"July","ITA","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",44,13
"January","USA","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",47,9
"July","NOR","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",48,8
"June","BRA","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",47,9
"March","USA","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",48,8
"April","ISR","Portuguese bookings have decreased drastically.",54,1
"February","BEL","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",44,11
"June","SWE","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",48,6
"February","BRA","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",44,9
"January","IRL","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",16,36
"August","CHE","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",29,21
